Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
534528,45.6301,45.6301,-2.23544,178.513,0.249995
534400,50.235,50.235,-10.3432,63.2994,0.249995
534592,82.7836,82.7836,-8.94595,139.341,0.249995
533824,76.3585,76.3585,20.451,-111.952,0.249995
534624,64.0558,64.0558,3.95389,63.9884,0.249995
534368,127.535,127.535,3.94029,-119.428,0.249995
534496,97.3499,97.3499,10.3885,119.044,0.249995
534544,74.939,74.939,-2.61151,76.6806,0.249995
534416,108.68,108.68,-4.12142,-31.1869,0.249995
534608,135.847,135.847,-8.48998,99.7096,0.249995
534064,21.9704,21.9704,11.0481,-15.6914,0.249995
534384,89.4544,89.4544,-4.70497,-53.1113,0.249996
534512,91.3944,91.3944,4.53514,174.866,0.249995
534600,99.0604,99.0604,-8.80367,153.474,0.249995
533672,92.2388,92.2388,11.4807,-66.0953,0.249995
534376,119.172,119.172,-4.15626,-113.036,0.249995
533736,93.0668,93.0668,-11.9061,29.4359,0.249995
533656,96.0024,96.0024,18.7407,-51.1259,0.249995
534424,53.3694,53.3694,-11.5019,20.0798,0.249995
533848,76.1553,76.1553,-4.57775,-101.675,0.249996
534360,25.9348,25.9348,4.03277,-164.375,0.249995
534488,89.6698,89.6698,9.71079,148.091,0.249996
534072,111.078,111.078,12.0286,-98.3241,0.249995
533816,81.4075,81.4075,11.5242,22.0651,0.249995
534456,75.449,75.449,-12.0802,-170.859,0.249995
534532,71.7237,71.7237,4.37152,186.734,0.249995
533764,69.5047,69.5047,10.7182,-9.74296,0.249995
534148,71.8557,71.8557,11.0158,-36.6379,0.249995
534404,42.0823,42.0823,11.7502,40.7104,0.249995
534628,29.7591,29.7591,11.2974,56.0681,0.249995
534372,28.4649,28.4649,-4.4895,-94.9975,0.249995
534036,99.7655,99.7655,4.1554,124.142,0.249995
534420,91.2827,91.2827,11.1999,-22.8944,0.249995
534612,65.4042,65.4042,4.86807,102.329,0.249995
534484,41.6359,41.6359,-11.8641,-126.24,0.249995
534452,94.3112,94.3112,-3.77746,-145.212,0.249995
534284,234.505,234.505,12.2326,-156.539,0.249995
534508,52.7578,52.7578,15.3256,141.808,0.249995
534556,101.922,101.922,18.5328,54.4382,0.249995
534620,85.2239,85.2239,18.0364,74.2842,0.249995
534140,97.7377,97.7377,18.5218,-14.1779,0.249995
534396,116.117,116.117,-3.62442,46.9774,0.249995
534530,28.1123,28.1123,-2.77688,192.615,0.249995
534210,22.4698,22.4698,-12.4189,-83.839,0.249995
533954,26.0971,26.0971,11.6203,-73.6806,0.249995
534466,108.364,108.364,-11.8727,-160.392,0.249995
534626,64.0418,64.0418,10.7337,71.5627,0.249995
534370,58.2545,58.2545,3.97053,-104.132,0.249995
534546,89.0455,89.0455,-8.73876,82.3624,0.249996
534290,45.7298,45.7298,-4.24039,16.6882,0.249995
533906,108.75,108.75,20.266,-184.607,0.249995
534418,95.9153,95.9153,3.30857,-19.5581,0.249995
534482,112.615,112.615,-12.1784,-117.537,0.249995
533682,64.1272,64.1272,3.84894,136.746,0.249995
534450,160.73,160.73,-3.84632,-162.394,0.249995
534386,114.644,114.644,-11.4661,-27.2134,0.249995
534186,79.8905,79.8905,2.67091,-48.7844,0.249995
533866,160.15,160.15,11.9924,-114.5,0.249994
534506,68.8416,68.8416,9.86868,133.964,0.249996
533914,106.937,106.937,3.67173,17.0089,0.249995
534426,83.6822,83.6822,-3.74917,33.8085,0.249995
534618,96.5351,96.5351,17.2972,101.014,0.249995
534362,172.102,172.102,4.00793,-144.965,0.249995
534490,78.6176,78.6176,-2.36656,158.967,0.249995
534534,36.5529,36.5529,11.6649,192.67,0.249995
534406,107.077,107.077,19.3068,39.197,0.249995
534310,107.672,107.672,18.7101,-0.957478,0.249995
534182,146.489,146.489,19.6188,-74.6763,0.249995
534630,41.7512,41.7512,18.2605,64.6777,0.249995
534118,120.146,120.146,3.44984,-75.3576,0.249995
534374,118.097,118.097,-12.6521,-75.4722,0.249995
533734,73.1368,73.1368,-11.9157,3.45465,0.249995
534422,82.2093,82.2093,-4.14194,-15.2175,0.249995
534614,48.3935,48.3935,10.7786,106.842,0.249995
533846,94.8283,94.8283,3.4158,-6.90514,0.249995
534486,87.5902,87.5902,-11.8105,-148.892,0.249995
533622,25.1101,25.1101,20.944,-176.218,0.249995
534414,86.696,86.696,-4.69412,-66.9523,0.249995
534350,135.411,135.411,12.1102,-178.179,0.249995
534446,69.0559,69.0559,-4.07824,-178.018,0.249995
534382,74.2414,74.2414,-12.5039,-60.3639,0.249995
534510,30.361,30.361,14.411,155.577,0.249995
534430,136.627,136.627,-12.6159,-93.317,0.249995
534622,108.227,108.227,3.71993,77.487,0.249995
534398,121.109,121.109,-3.02747,62.4051,0.249995
534529,53.7025,53.7025,-2.368,186.129,0.249995
533857,118.611,118.611,3.51276,-36.1164,0.249995
534369,25.2399,25.2399,3.45535,-109.175,0.249995
534241,85.8182,85.8182,3.45904,4.7116,0.249995
534497,55.1222,55.1222,4.56463,111.521,0.249995
534545,57.7082,57.7082,-9.57295,71.1542,0.249995
534417,21.6616,21.6616,3.51496,-27.1491,0.249995
534609,167.687,167.687,-2.14984,113.46,0.249995
534129,188.64,188.64,20.592,-144.519,0.249995
533873,65.1058,65.1058,3.69304,27.6374,0.249996
534385,150.608,150.608,-12.1169,-45.1669,0.249995
534513,67.1567,67.1567,-2.09947,169.792,0.249995
533641,100.385,100.385,11.387,9.90554,0.249995
534601,63.5811,63.5811,-8.75173,166.37,0.249995
533833,110.704,110.704,3.38673,-61.3859,0.249995
533929,63.3286,63.3286,10.9936,-0.630712,0.249995
534377,43.442,43.442,-3.60077,-123.208,0.249995
534505,80.0899,80.0899,16.4535,120.272,0.249995
534425,64.2431,64.2431,-4.20146,24.0845,0.249995
534361,60.5669,60.5669,4.12132,-158.945,0.249995
534489,87.3209,87.3209,4.609,161.701,0.249995
534457,29.8667,29.8667,-12.9313,-176.652,0.249995
534137,165.177,165.177,20.772,-165.228,0.249995
534533,26.8806,26.8806,3.7685,193.359,0.249995
534405,75.7581,75.7581,11.9176,48.4892,0.249995
534053,50.9348,50.9348,19.1259,9.36138,0.249995
534629,72.1409,72.1409,10.961,62.831,0.249995
533605,79.0078,79.0078,-2.51148,131.476,0.249995
