Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
577536,90.3236,90.3236,12.3808,-11.1569,0.249995
573312,26.9305,26.9305,-3.40989,-183.5,0.249995
577728,68.0674,68.0674,12.5294,-87.2475,0.249995
570016,89.7254,89.7254,-2.29963,-64.13,0.249995
572768,17.2048,17.2048,19.2621,-138.242,0.249995
577760,19.8513,19.8513,-9.74217,20.4484,0.249995
570384,85.6144,85.6144,-9.68729,-5.82906,0.249995
555984,85.6483,85.6483,-1.60667,99.2546,0.249995
577712,78.5632,78.5632,-10.8712,-124.682,0.249995
570032,47.9352,47.9352,4.65694,-11.9202,0.249995
577776,75.1107,75.1107,12.475,139.906,0.249995
577800,85.0119,85.0119,12.2745,175.682,0.249996
577736,32.1692,32.1692,19.0685,-27.6352,0.249995
574664,26.9406,26.9406,-10.4903,-98.02,0.249995
560328,48.5123,48.5123,19.6234,112.695,0.249995
560680,53.2223,53.2223,12.5461,63.158,0.249995
577704,20.8891,20.8891,4.22172,-170.566,0.249995
577768,75.3097,75.3097,-2.00578,48.4953,0.249995
577560,57.6295,57.6295,12.3924,55.4877,0.249995
562264,38.6114,38.6114,-11.0474,-171.073,0.249995
577752,19.2178,19.2178,12.3504,-54.1137,0.249995
573444,25.9227,25.9227,-11.0057,-131.947,0.249995
577796,44.2966,44.2966,19.0375,165.768,0.249995
570244,110.049,110.049,-1.76965,171.285,0.249996
570212,24.8794,24.8794,-11.2699,-175.565,0.249995
577764,27.1751,27.1751,19.365,34.1106,0.249995
577812,14.4872,14.4872,19.5695,-121.483,0.249995
570068,61.491,61.491,-1.91553,72.8994,0.249995
560180,115.485,115.485,-9.09246,37.6667,0.249995
570932,65.0522,65.0522,19.5882,-168.687,0.249995
560692,46.043,46.043,19.2757,58.6662,0.249995
577716,60.3993,60.3993,12.3704,-112.181,0.249995
559284,80.5873,80.5873,4.83771,-131.07,0.249995
577780,30.586,30.586,18.3527,150.352,0.249995
573172,60.6457,60.6457,-8.4487,78.6983,0.249995
571404,102.46,102.46,12.4254,-173.881,0.249995
577804,55.5254,55.5254,-1.57505,147.872,0.249995
573260,92.3692,92.3692,5.01199,-73.3387,0.249995
577740,44.8548,44.8548,19.5184,-72.9161,0.249995
577708,29.6604,29.6604,-10.7876,-117.541,0.249995
560556,70.0219,70.0219,-9.6708,-30.2553,0.249995
577772,64.151,64.151,12.4899,46.8794,0.249995
570012,77.616,77.616,-2.70631,-75.859,0.249995
