Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
535040,148.779,148.779,4.41025,-79.4195,0.249995
534912,82.4924,82.4924,-1.46135,56.7296,0.249995
535104,49.2883,49.2883,-8.54118,40.0919,0.249995
534720,59.2972,59.2972,-1.19304,154.323,0.249995
535232,79.9477,79.9477,4.0246,-35.9245,0.249995
534976,39.9734,39.9734,11.2293,-148.478,0.249995
535200,98.1324,98.1324,-4.23011,-110.28,0.249995
534944,49.0082,49.0082,4.38075,87.0875,0.249995
535056,81.9496,81.9496,-8.1465,49.6475,0.249995
535184,33.8509,33.8509,-13.2243,-150.014,0.249995
534736,59.2369,59.2369,-13.3701,-159.219,0.249995
534960,62.7111,62.7111,-6.7795,178.243,0.249995
534896,107.753,107.753,-5.3353,-138.36,0.249995
535024,120.622,120.622,-3.3355,-72.0942,0.249995
534792,79.6527,79.6527,5.2336,48.5478,0.249995
535240,116.873,116.873,-2.68401,3.33948,0.249995
534888,58.5186,58.5186,-11.5645,-102.037,0.249995
534760,130.794,130.794,3.49682,-107.596,0.249995
534808,92.5509,92.5509,5.53021,60.6344,0.249995
535192,25.3936,25.3936,11.148,-134.737,0.249995
535256,54.4582,54.4582,-15.13,74.0852,0.249995
535224,22.8362,22.8362,-10.2293,-8.10814,0.249995
534968,77.6886,77.6886,12.4547,126.199,0.249995
535160,105.452,105.452,-15.1748,29.8987,0.249995
534776,95.9318,95.9318,-8.33673,72.751,0.249995
534788,68.6959,68.6959,4.10321,95.8139,0.249995
535204,40.3512,40.3512,-11.2351,-94.5564,0.249995
534756,38.379,38.379,12.3129,134.283,0.249995
535012,61.3812,61.3812,-0.661526,174.203,0.249995
534676,71.1828,71.1828,-12.6035,171.115,0.249995
535188,14.9841,14.9841,-13.21,-145.941,0.249995
535124,71.7624,71.7624,-8.49405,31.8054,0.249995
534708,55.1921,55.1921,-8.5833,96.3431,0.249995
535220,13.1287,13.1287,-10.2809,-26.32,0.249995
535156,115.059,115.059,-9.59098,8.61501,0.249995
535180,17.9206,17.9206,-14.0261,-181.722,0.249995
534988,30.8379,30.8379,10.8369,-164.222,0.249995
534828,56.7626,56.7626,5.34537,24.0425,0.249995
534636,57.2042,57.2042,-8.50403,86.1758,0.249995
534892,72.6309,72.6309,-20.3945,-155.859,0.249995
534764,56.7602,56.7602,11.2645,75.9561,0.249995
535068,121.317,121.317,12.1944,-67.2985,0.249995
535196,20.4924,20.4924,-11.6033,-115.817,0.249995
534876,63.5566,63.5566,-13.6207,136.79,0.249995
535260,57.228,57.228,-7.85981,130.081,0.249995
535004,104.447,104.447,2.00518,-155.616,0.249995
535228,64.1014,64.1014,-3.4717,-19.1602,0.249995
534908,98.5761,98.5761,2.13569,-166.966,0.249995
534850,62.2273,62.2273,-13.97,125.768,0.249995
535234,60.8256,60.8256,11.5896,-39.9481,0.249995
535202,91.5609,91.5609,-3.70258,-85.801,0.249995
535010,66.7209,66.7209,-0.492413,164.669,0.249995
534802,46.8834,46.8834,-12.963,-137.777,0.249995
534930,57.9565,57.9565,5.82005,179.314,0.249995
534866,72.0488,72.0488,-8.22532,60.9428,0.249995
534994,25.3217,25.3217,12.3057,-75.9831,0.249995
535218,22.0939,22.0939,-9.97711,-34.9721,0.249995
534962,40.096,40.096,-10.635,-70.4529,0.249995
534898,66.1827,66.1827,-2.36931,91.7103,0.249995
535178,16.6507,16.6507,-14.5662,-189.639,0.249995
535114,98.6143,98.6143,-1.61013,42.9328,0.249995
534858,58.4593,58.4593,5.21424,124.102,0.249995
534730,81.7144,81.7144,-8.85656,108.097,0.249995
535242,58.5197,58.5197,12.0633,9.92983,0.249995
535082,63.4785,63.4785,-20.7986,-171.407,0.249995
534826,89.0256,89.0256,4.9806,13.8421,0.249995
535018,79.5771,79.5771,-4.27795,-98.9851,0.249995
535194,18.3042,18.3042,-5.03512,-130.54,0.249995
534938,78.6043,78.6043,11.7808,44.274,0.249995
534746,104.375,104.375,-20.3278,-144.994,0.249995
535002,118.923,118.923,2.108,-184.039,0.249995
534842,89.3678,89.3678,13.1518,174.039,0.249995
534714,44.1035,44.1035,-10.3168,-16.3004,0.249995
535226,63.5003,63.5003,-2.95637,-44.1341,0.249995
535034,72.585,72.585,-7.45102,140.609,0.249995
534918,66.9627,66.9627,6.24815,170.071,0.249995
535110,69.7894,69.7894,12.1017,56.3363,0.249995
535238,139.371,139.371,12.9191,-15.8414,0.249995
535078,57.4395,57.4395,-13.5736,83.0296,0.249995
534822,81.9213,81.9213,-6.287,-163.373,0.249995
534758,103.001,103.001,4.97305,35.6738,0.249996
535190,13.6208,13.6208,-12.6365,-133.069,0.249995
534870,44.9124,44.9124,5.27025,131.317,0.249995
535254,44.1749,44.1749,-8.85013,23.1996,0.249995
534966,72.6905,72.6905,3.94497,114.992,0.249995
535158,117.134,117.134,-2.70267,-56.0435,0.249995
535030,42.9996,42.9996,-13.2814,146.124,0.249995
535054,70.9541,70.9541,-14.8159,53.2325,0.249995
535182,14.0677,14.0677,-13.5984,-174.247,0.249995
