Label,Value,Area (µm²),Center_X,Center_Y,Center_Z
538752,99.2722,99.2722,-2.13456,73.6955,0.249995
539008,72.4187,72.4187,4.11856,167.32,0.249995
538304,47.1469,47.1469,-8.84071,-5.13774,0.249995
538912,51.5361,51.5361,14.7706,-59.1861,0.249995
538976,9.75619,9.75619,-10.0058,-38.6723,0.249995
537952,16.8693,16.8693,0.728014,-104.796,0.249995
538384,79.6824,79.6824,3.82008,56.4075,0.249995
538768,86.8514,86.8514,-8.88603,138.819,0.249995
538960,14.3032,14.3032,-11.3045,-149.481,0.249995
538320,20.2981,20.2981,0.748651,-119.797,0.249995
538576,45.029,45.029,17.8661,52.5405,0.249995
538992,103.369,103.369,-2.64451,16.6465,0.249995
538096,44.8701,44.8701,10.7919,71.1715,0.249995
538248,19.5337,19.5337,7.1439,-82.2373,0.249995
538504,85.464,85.464,2.54733,-27.0443,0.249995
538952,10.3106,10.3106,-12.3843,-190.341,0.249995
538664,40.0005,40.0005,-4.44537,-64.822,0.249995
538920,81.592,81.592,0.812803,-112.184,0.249995
538408,51.4356,51.4356,17.5982,45.8815,0.249995
538984,15.7461,15.7461,9.63093,-11.1139,0.249995
538344,22.7582,22.7582,7.41113,-109.657,0.249995
538776,48.8045,48.8045,16.8607,81.7102,0.249995
538520,15.3765,15.3765,-3.79174,-30.4543,0.249995
538968,70.4624,70.4624,-11.5101,-119.736,0.249995
538456,51.7277,51.7277,9.84183,98.5478,0.249995
538328,58.527,58.527,10.7101,27.0599,0.249995
538584,79.3247,79.3247,-0.0744296,-177.314,0.249995
538936,21.2524,21.2524,16.3133,-21.7758,0.249995
538424,69.9397,69.9397,-8.96679,24.1454,0.249995
538744,67.7666,67.7666,7.80699,-64.5755,0.249995
539000,14.6306,14.6306,10.442,60.151,0.249995
538104,24.9079,24.9079,14.4005,-171.562,0.249995
538500,61.2687,61.2687,17.2468,137.699,0.249995
538948,20.7332,20.7332,-6.43533,-191.491,0.249995
538820,23.6116,23.6116,-6.33229,-178.026,0.249995
538660,117.46,117.46,-8.60448,47.5275,0.249995
538148,52.8741,52.8741,2.17704,-46.7656,0.249995
538980,16.6326,16.6326,3.11565,-6.79033,0.249995
538340,72.177,72.177,10.1754,85.7506,0.249995
538964,17.2695,17.2695,14.1306,-126.698,0.249995
538580,60.0814,60.0814,3.80794,23.7343,0.249995
538932,42.2254,42.2254,14.947,-47.0835,0.249995
538420,59.0304,59.0304,-8.85325,33.5122,0.249995
538740,90.4443,90.4443,-5.61648,-138.917,0.249995
538996,59.2848,59.2848,4.07998,46.2625,0.249995
537996,26.3034,26.3034,7.11829,-131.655,0.249995
538956,12.4975,12.4975,-11.3645,-163.382,0.249995
538924,48.0334,48.0334,8.5643,-43.3528,0.249995
538796,24.1815,24.1815,14.0953,-118.223,0.249995
538988,15.3076,15.3076,3.54806,6.26123,0.249995
537964,38.0634,38.0634,7.44863,-127.04,0.249995
538476,71.012,71.012,16.6743,91.347,0.249995
538348,89.7852,89.7852,0.321642,-96.6023,0.249995
538140,31.0436,31.0436,0.410554,-139.607,0.249995
538908,73.3359,73.3359,-8.5424,63.1168,0.249995
538972,35.6813,35.6813,13.5491,-93.6491,0.249995
538844,73.0587,73.0587,-5.76657,-152.348,0.249995
538748,57.9166,57.9166,3.8239,128.439,0.249995
539004,55.797,55.797,10.4765,131.717,0.249995
537980,21.9739,21.9739,8.87371,-37.634,0.249995
