p_val	avg_log2FC	pct.1	pct.2	p_val_adj	cluster	gene
BdiBd21-3.2G0134700	0	3.47167602374655	0.899	0.169	0	0	BdiBd21-3.2G0134700
BdiBd21-3.2G0285200	4.71957234968942e-297	3.260157738538	0.624	0.055	1.84384252557666e-292	0	BdiBd21-3.2G0285200
BdiBd21-3.5G0177700	7.66777339911412e-278	3.35588365630556	0.592	0.053	2.99564571156591e-273	0	BdiBd21-3.5G0177700
BdiBd21-3.2G0074700	4.08559662188966e-272	2.65810478473333	0.733	0.095	1.59616088823985e-267	0	BdiBd21-3.2G0074700
BdiBd21-3.3G0272700	1.56750960377215e-269	2.87419040189221	0.758	0.115	6.12394652001705e-265	0	BdiBd21-3.3G0272700
BdiBd21-3.2G0643400	3.12302736121873e-263	3.23003831644469	0.935	0.255	1.22010432948094e-258	0	BdiBd21-3.2G0643400
BdiBd21-3.1G0980700	1.8415968454274e-257	3.17870879980417	0.547	0.048	7.19475055571578e-253	0	BdiBd21-3.1G0980700
BdiBd21-3.4G0517100	8.14008806020364e-249	2.75122107532415	0.608	0.066	3.18016960336036e-244	0	BdiBd21-3.4G0517100
BdiBd21-3.1G0370100	1.02934664780904e-247	2.70433073343926	0.679	0.089	4.02145148366036e-243	0	BdiBd21-3.1G0370100
BdiBd21-3.2G0403700	3.80561115712887e-241	4.31175847452033	0.552	0.064	1.48677616686711e-236	0	BdiBd21-3.2G0403700
BdiBd21-3.5G0057800	1.7671175390757e-237	3.00615108942084	0.527	0.048	6.90377480166093e-233	0	BdiBd21-3.5G0057800
BdiBd21-3.2G0027400	2.57805708209078e-234	3.37959832050438	0.543	0.056	1.00719534083123e-229	0	BdiBd21-3.2G0027400
BdiBd21-3.2G0675300	3.21809236388043e-232	2.53644157888731	0.727	0.118	1.25724432472081e-227	0	BdiBd21-3.2G0675300
BdiBd21-3.1G0946200	1.21374155965833e-223	2.77496320184474	0.479	0.04	4.74184552527316e-219	0	BdiBd21-3.1G0946200
BdiBd21-3.1G0128500	2.41490019311339e-222	2.36541209862446	0.743	0.129	9.4345320744554e-218	0	BdiBd21-3.1G0128500
BdiBd21-3.3G0074500	8.19838251513433e-221	2.27150802916836	0.754	0.134	3.20294408101268e-216	0	BdiBd21-3.3G0074500
BdiBd21-3.1G0409700	1.32198565246261e-218	3.40080414350814	0.673	0.113	5.16473354704092e-214	0	BdiBd21-3.1G0409700
BdiBd21-3.1G1021900	7.5639983251554e-216	2.76320526308159	0.871	0.245	2.95510286567171e-211	0	BdiBd21-3.1G1021900
BdiBd21-3.3G0448700	3.82727826707357e-212	2.70009413477739	0.527	0.061	1.4952410733803e-207	0	BdiBd21-3.3G0448700
BdiBd21-3.1G1039501	1.76006551284319e-207	2.65526719948736	0.501	0.052	6.87622394557579e-203	0	BdiBd21-3.1G1039501
BdiBd21-3.5G0192000	8.7387895679995e-206	3.12408238095631	0.438	0.037	3.41407030842604e-201	0	BdiBd21-3.5G0192000
BdiBd21-3.2G0402400	3.39907760020075e-205	2.59866196965154	0.467	0.043	1.32795163684643e-200	0	BdiBd21-3.2G0402400
BdiBd21-3.2G0281100	7.84095226592936e-202	2.89481902436601	0.527	0.063	3.06330323125328e-197	0	BdiBd21-3.2G0281100
BdiBd21-3.4G0503800	7.91412184074335e-200	3.76165988359888	0.41	0.033	3.09188912074161e-195	0	BdiBd21-3.4G0503800
BdiBd21-3.1G0349600	1.23663326841003e-198	2.71473021757748	0.527	0.063	4.8312788530243e-194	0	BdiBd21-3.1G0349600
BdiBd21-3.2G0336400	2.07524929255807e-197	2.33945796303363	0.606	0.088	8.10758393616588e-193	0	BdiBd21-3.2G0336400
BdiBd21-3.1G0972200	8.9231057970953e-194	3.82633312609812	0.335	0.018	3.48607897280919e-189	0	BdiBd21-3.1G0972200
BdiBd21-3.3G0095900	4.53304933408376e-192	2.60542107735389	0.475	0.049	1.77097171383984e-187	0	BdiBd21-3.3G0095900
BdiBd21-3.3G0638700	1.198952705812e-190	2.35253262869932	0.659	0.114	4.68406843106631e-186	0	BdiBd21-3.3G0638700
BdiBd21-3.4G0483000	2.92150237245486e-189	2.13755094876622	0.78	0.174	1.14137254687066e-184	0	BdiBd21-3.4G0483000
BdiBd21-3.2G0046500	6.62015923642061e-186	2.27224909349149	0.562	0.079	2.5863638104848e-181	0	BdiBd21-3.2G0046500
BdiBd21-3.1G0185900	1.75260865365382e-185	2.11328348561883	0.701	0.134	6.84709148809473e-181	0	BdiBd21-3.1G0185900
BdiBd21-3.2G0107800	2.31420048650658e-184	2.02238488604427	0.691	0.127	9.04111846068391e-180	0	BdiBd21-3.2G0107800
BdiBd21-3.1G1012300	3.0540438761977e-184	2.48829878496773	0.558	0.082	1.19315386155292e-179	0	BdiBd21-3.1G1012300
BdiBd21-3.2G0548000	8.44964072347398e-182	3.04031520991677	0.388	0.032	3.30110563784681e-177	0	BdiBd21-3.2G0548000
BdiBd21-3.1G0170100	5.02710568940003e-181	2.08776279823159	0.515	0.066	1.9639896507348e-176	0	BdiBd21-3.1G0170100
BdiBd21-3.3G0730100	4.53179557202551e-180	1.84977078674136	0.992	0.783	1.77048189407893e-175	0	BdiBd21-3.3G0730100
BdiBd21-3.1G0358500	1.02882831423665e-179	1.63126882776432	0.994	0.78	4.01942645805973e-175	0	BdiBd21-3.1G0358500
BdiBd21-3.3G0540000	1.3403699095827e-179	1.95200497805071	0.962	0.491	5.23655716275768e-175	0	BdiBd21-3.3G0540000
BdiBd21-3.3G0530200	2.52324094440658e-179	2.49812253558664	0.592	0.101	9.85779772160764e-175	0	BdiBd21-3.3G0530200
BdiBd21-3.1G0434500	7.00637567230629e-179	2.73383629756862	0.616	0.111	2.73725084765662e-174	0	BdiBd21-3.1G0434500
BdiBd21-3.5G0241300	4.95898294101783e-178	2.20319147829309	0.638	0.112	1.93737545539685e-173	0	BdiBd21-3.5G0241300
BdiBd21-3.4G0540900	1.71211522545332e-177	2.36082439406364	0.511	0.066	6.68889176280102e-173	0	BdiBd21-3.4G0540900
BdiBd21-3.1G0964300	6.51190206345166e-177	2.08777466505911	0.703	0.141	2.54406989814929e-172	0	BdiBd21-3.1G0964300
BdiBd21-3.3G0085800	3.81772313450373e-176	2.76134919157937	0.354	0.026	1.49150807418792e-171	0	BdiBd21-3.3G0085800
BdiBd21-3.1G0713600	8.32577503407441e-176	1.85505886926236	0.986	0.674	3.25271379031219e-171	0	BdiBd21-3.1G0713600
BdiBd21-3.4G0205000	2.47408004365093e-175	2.1684361558174	0.933	0.379	9.66573591453546e-171	0	BdiBd21-3.4G0205000
BdiBd21-3.2G0799200	5.07638567296927e-175	2.3971808133521	0.39	0.034	1.98324235471564e-170	0	BdiBd21-3.2G0799200
BdiBd21-3.2G0306600	5.26764159932267e-175	1.65120030381001	0.99	0.793	2.05796222002338e-170	0	BdiBd21-3.2G0306600
BdiBd21-3.4G0507900	2.06069598405868e-174	2.63689696638869	0.398	0.038	8.05072707052046e-170	0	BdiBd21-3.4G0507900
BdiBd21-3.2G0301400	1.27111932172056e-173	1.78451047613828	0.976	0.662	4.96600896609788e-169	0	BdiBd21-3.2G0301400
BdiBd21-3.1G0846800	3.69156607645833e-173	1.7517072479611	0.998	0.836	1.44222103475074e-168	0	BdiBd21-3.1G0846800
BdiBd21-3.1G0461900	3.71828492879599e-173	1.31409814242366	0.998	0.893	1.45265955598202e-168	0	BdiBd21-3.1G0461900
BdiBd21-3.4G0102800	4.99608837468289e-173	1.98812243966295	0.495	0.062	1.95187180622111e-168	0	BdiBd21-3.4G0102800
BdiBd21-3.3G0738400	1.16060528141295e-172	1.91775304761338	0.774	0.178	4.53425271342412e-168	0	BdiBd21-3.3G0738400
BdiBd21-3.2G0716900	3.08326692205121e-172	2.15016909391416	0.521	0.072	1.20457072110697e-167	0	BdiBd21-3.2G0716900
BdiBd21-3.3G0547800	3.95414729663058e-172	2.02485843740147	0.846	0.245	1.54480626584763e-167	0	BdiBd21-3.3G0547800
BdiBd21-3.1G0259200	3.18687821277105e-171	2.36709933278493	0.889	0.353	1.24504958016539e-166	0	BdiBd21-3.1G0259200
BdiBd21-3.1G0929200	4.11658531062144e-171	1.55414673106601	0.998	0.879	1.60826754915358e-166	0	BdiBd21-3.1G0929200
BdiBd21-3.4G0621500	1.04975497530544e-170	2.18142117043047	0.485	0.062	4.1011827375233e-166	0	BdiBd21-3.4G0621500
BdiBd21-3.1G1005400	5.4774688719442e-170	1.89039142098804	0.818	0.237	2.13993753889116e-165	0	BdiBd21-3.1G1005400
BdiBd21-3.1G0058100	9.70554631175499e-170	2.15505466710154	0.42	0.043	3.79176283307644e-165	0	BdiBd21-3.1G0058100
BdiBd21-3.3G0034900	1.55736495796311e-169	1.94279330058588	0.683	0.137	6.08431341777027e-165	0	BdiBd21-3.3G0034900
BdiBd21-3.2G0081500	1.21679918990175e-168	1.62625127805854	0.99	0.717	4.75379107510814e-164	0	BdiBd21-3.2G0081500
BdiBd21-3.2G0629300	1.81209882164952e-168	1.94414707301879	0.749	0.173	7.07950767642036e-164	0	BdiBd21-3.2G0629300
BdiBd21-3.3G0648800	4.02380520595653e-168	1.96943326832047	0.731	0.163	1.5720202178631e-163	0	BdiBd21-3.3G0648800
BdiBd21-3.1G0098900	5.01190047473393e-168	2.54018682514866	0.428	0.047	1.95804927746905e-163	0	BdiBd21-3.1G0098900
BdiBd21-3.1G0987000	6.72976405223157e-168	1.90193463773501	0.543	0.081	2.62918421992583e-163	0	BdiBd21-3.1G0987000
BdiBd21-3.1G0070400	8.69395682319797e-168	1.56492792026	0.992	0.771	3.39655505168698e-163	0	BdiBd21-3.1G0070400
BdiBd21-3.4G0414800	1.02760216245855e-167	2.10223099252984	0.424	0.045	4.01463612829305e-163	0	BdiBd21-3.4G0414800
BdiBd21-3.1G0658400	9.36036565433757e-167	1.7784147072735	0.604	0.103	3.6569076538366e-162	0	BdiBd21-3.1G0658400
BdiBd21-3.2G0063000	1.12695667999622e-165	2.06657068836402	0.414	0.044	4.40279435740923e-161	0	BdiBd21-3.2G0063000
BdiBd21-3.5G0025000	1.65858994953616e-165	1.95220558229647	0.842	0.25	6.47977921484787e-161	0	BdiBd21-3.5G0025000
BdiBd21-3.2G0361800	3.73016269149868e-165	1.86960059169485	0.602	0.101	1.4572999603147e-160	0	BdiBd21-3.2G0361800
BdiBd21-3.1G1010100	1.73099466008276e-164	1.58773528040308	0.996	0.748	6.76264993801134e-160	0	BdiBd21-3.1G1010100
BdiBd21-3.2G0751300	4.02216570425922e-164	1.8945265999672	0.857	0.26	1.57137969733999e-159	0	BdiBd21-3.2G0751300
BdiBd21-3.4G0529300	5.35420381917746e-164	2.35425712199381	0.448	0.054	2.09178034807625e-159	0	BdiBd21-3.4G0529300
BdiBd21-3.1G0687400	8.23424257949629e-164	1.52019398285656	0.99	0.783	3.21695389095761e-159	0	BdiBd21-3.1G0687400
BdiBd21-3.1G0452400	8.38076961293879e-164	2.27756698290626	0.667	0.14	3.27419907238292e-159	0	BdiBd21-3.1G0452400
BdiBd21-3.1G0244800	1.57345623014222e-163	1.47429103789286	0.996	0.767	6.14717879991964e-159	0	BdiBd21-3.1G0244800
BdiBd21-3.5G0163100	3.9498434194144e-163	2.44133251013747	0.451	0.055	1.54312482709682e-158	0	BdiBd21-3.5G0163100
