	isTF_expressed	isTF_expressionRegulons	isTF_TFBSRegulons	isTF_finalRegulons	DividingGMCs-2	EarlyGCs-3	EarlyGMCs-1	Intercells-7	LateGCs-4	SCs-6	SMCs-5	Stage0to2-0
BdiBd21-3.1G0000700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0007900	1	1	1	0	0.8	0.0	2.0	0.0	0.4	0.2	0.2	3.6
BdiBd21-3.1G0012000	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0012800	1	1	1	0	1.2	0.4	0.8	0.0	0.8	0.5	0.0	2.4
BdiBd21-3.1G0015000	1	1	0	0	5.1	0.0	0.3	0.1	0.0	0.2	0.0	1.8
BdiBd21-3.1G0020400	1	1	0	0	0.4	0.0	0.3	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0020600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0021100	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0021600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0022900	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0023200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0026100	1	1	0	0	0.4	0.2	0.8	0.2	0.0	0.0	0.0	1.0
BdiBd21-3.1G0031800	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.2
BdiBd21-3.1G0036600	1	1	1	0	3.5	2.6	0.3	0.4	0.8	0.5	0.6	1.0
BdiBd21-3.1G0039500	1	1	1	1	28.2	43.2	23.2	0.7	17.4	6.2	2.0	21.4
BdiBd21-3.1G0041200	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0042600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0043600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0047200	1	1	0	0	2.7	0.6	0.8	0.0	1.2	0.5	0.1	1.4
BdiBd21-3.1G0048800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0049400	1	1	1	1	49.4	39.5	56.8	21.5	21.9	53.8	28.9	63.4
BdiBd21-3.1G0049500	1	1	1	1	68.2	50.9	62.7	17.1	21.5	55.5	31.1	68.1
BdiBd21-3.1G0049600	1	1	1	1	30.6	18.3	24.3	8.9	11.3	28.0	13.2	34.5
BdiBd21-3.1G0049800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0050700	1	1	0	0	0.0	0.2	0.0	0.0	0.0	0.0	0.1	0.0
BdiBd21-3.1G0054000	1	1	1	1	25.1	12.6	9.0	1.1	8.9	3.6	2.3	27.7
BdiBd21-3.1G0054700	1	1	1	1	59.6	59.3	64.7	42.2	39.3	74.4	62.3	78.8
BdiBd21-3.1G0055800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0056500	1	1	0	0	0.4	0.2	0.0	0.2	0.0	0.3	0.0	0.0
BdiBd21-3.1G0059500	1	1	0	0	0.0	0.0	0.3	0.0	0.0	0.2	0.0	0.2
BdiBd21-3.1G0065800	1	1	1	0	2.4	1.8	2.0	0.0	1.2	0.5	0.3	8.5
BdiBd21-3.1G0070500	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0071400	1	1	1	0	0.8	0.0	1.1	0.0	0.4	0.3	0.4	2.0
BdiBd21-3.1G0071800	1	1	1	1	3.5	4.1	1.7	1.8	0.8	1.4	0.7	11.1
BdiBd21-3.1G0072500	1	1	1	0	0.4	0.4	0.0	0.0	0.4	0.2	0.0	1.2
BdiBd21-3.1G0083700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2
BdiBd21-3.1G0086900	1	1	1	0	0.0	0.2	0.0	0.0	0.0	0.0	0.0	1.6
BdiBd21-3.1G0089600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
BdiBd21-3.1G0094100	1	1	0	0	7.1	3.7	3.7	0.7	0.4	1.9	1.8	8.5
BdiBd21-3.1G0094600	1	1	0	0	0.0	0.0	0.0	0.1	0.0	0.0	0.1	0.0
BdiBd21-3.1G0098600	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0098800	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0099100	1	1	1	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0099500	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0101600	1	0	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0101900	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0
BdiBd21-3.1G0103100	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.2	0.0	0.0
BdiBd21-3.1G0103400	1	1	0	0	0.4	0.2	0.0	0.1	0.0	1.3	0.2	0.0
BdiBd21-3.1G0105900	1	1	1	0	2.4	0.6	1.7	0.1	0.8	0.6	0.6	9.1
BdiBd21-3.1G0109300	1	1	1	0	0.0	0.6	0.0	0.0	0.8	0.2	0.1	1.6
BdiBd21-3.1G0109700	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0111100	1	1	0	0	1.2	0.6	0.6	0.2	0.0	0.3	0.0	0.8
BdiBd21-3.1G0113800	1	1	0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
BdiBd21-3.1G0114000	1	1	0	0	0.8	0.2	0.0	0.1	0.0	0.2	0.1	0.2
