"gene";"cluster";"celltype";"p_val";"avg_log2FC";"pct.1";"pct.2";"p_val_adj"
"BdiBd21-3.5G0253000";"0";"Unknown 1";1.09999009647021e-267;2.61128240411684;0.987;0.572;4.29744130888983e-263
"BdiBd21-3.2G0241900";"0";"Unknown 1";4.92458469606858e-265;2.54432696358981;0.979;0.51;1.92393674906007e-260
"BdiBd21-3.4G0107400";"0";"Unknown 1";1.41235553895038e-263;2.74800364934672;0.961;0.467;5.51779061957133e-259
"BdiBd21-3.2G0302900";"0";"Unknown 1";1.09621191509521e-256;2.3731888873295;0.975;0.503;4.28268070989398e-252
"BdiBd21-3.3G0687700";"0";"Unknown 1";3.02230990764865e-252;2.85574790404105;0.889;0.303;1.18075603472017e-247
"BdiBd21-3.2G0370600";"0";"Unknown 1";4.40760802724962e-249;2.39658182755918;0.941;0.38;1.72196430408588e-244
"BdiBd21-3.5G0253100";"0";"Unknown 1";1.56952300898112e-240;2.34608646442959;0.971;0.543;6.13181249148743e-236
"BdiBd21-3.4G0520300";"0";"Unknown 1";5.78621170208234e-236;2.35359909038793;0.965;0.535;2.26055718776953e-231
"BdiBd21-3.2G0318200";"0";"Unknown 1";4.02319295331272e-234;2.01805168463279;0.999;0.747;1.57178102300021e-229
"BdiBd21-3.1G1029300";"0";"Unknown 1";1.11473849237016e-232;2.25606671379277;0.972;0.566;4.35506034199173e-228
"BdiBd21-3.1G0674600";"0";"Unknown 1";1.57253942766781e-230;2.15481724169799;0.958;0.469;6.1435970360126e-226
"BdiBd21-3.2G0303000";"0";"Unknown 1";4.74708069551767e-229;2.34286477741444;0.958;0.502;1.85458948612484e-224
"BdiBd21-3.2G0370500";"0";"Unknown 1";2.49369107851801e-223;2.15290289244649;0.963;0.542;9.74235230555416e-219
"BdiBd21-3.2G0299400";"0";"Unknown 1";3.77847127751689e-218;2.07871503721395;0.966;0.551;1.4761731587003e-213
"BdiBd21-3.1G0332900";"0";"Unknown 1";3.2649576491041e-215;1.72092408890698;0.999;0.814;1.27555365435199e-210
"BdiBd21-3.1G0120400";"0";"Unknown 1";6.26075195231142e-215;1.92235662929747;0.976;0.706;2.44595057272903e-210
"BdiBd21-3.1G0893900";"0";"Unknown 1";6.28128362810926e-207;1.50923057897355;0.948;0.422;2.45397188782973e-202
"BdiBd21-3.4G0081900";"0";"Unknown 1";7.35338588949967e-207;1.887473247608;0.99;0.636;2.87282079930973e-202
"BdiBd21-3.3G0721900";"0";"Unknown 1";2.47137032139196e-206;1.98584146018074;0.976;0.693;9.65514957161412e-202
"BdiBd21-3.3G0601500";"0";"Unknown 1";2.29713996653292e-205;1.75238887749285;0.961;0.499;8.97446642125082e-201
"BdiBd21-3.4G0401100";"0";"Unknown 1";3.73561847157188e-202;1.98558867564327;0.914;0.388;1.4594314244737e-197
"BdiBd21-3.4G0521500";"0";"Unknown 1";5.00345048848069e-202;1.63033543155019;0.994;0.822;1.95474803683964e-197
"BdiBd21-3.2G0681200";"0";"Unknown 1";3.09241399949748e-194;1.29249610603538;0.992;0.815;1.20814430132367e-189
"BdiBd21-3.2G0697400";"0";"Unknown 1";3.42969325772494e-194;2.08025806091763;0.934;0.468;1.33991256192798e-189
"BdiBd21-3.2G0594800";"0";"Unknown 1";5.90459011212054e-194;1.21885860471869;0.997;0.901;2.30680526500325e-189
"BdiBd21-3.1G0331900";"0";"Unknown 1";7.77412842023762e-190;1.18060791716896;0.999;0.88;3.03719649121843e-185
"BdiBd21-3.4G0081600";"0";"Unknown 1";5.36897995536715e-189;2.13916151313527;0.931;0.495;2.09755308896284e-184
"BdiBd21-3.3G0730100";"0";"Unknown 1";3.60764142276556e-186;1.39600303894411;0.999;0.81;1.40943335104605e-181
