BdiBd21-3.1G0000200.1	Bradi1g00200
BdiBd21-3.1G0000300.1	Bradi1g00210
BdiBd21-3.1G0000300.2	Bradi1g00210
BdiBd21-3.1G0000400.1	Bradi1g00213
BdiBd21-3.1G0000500.1	Bradi1g00215
BdiBd21-3.1G0000600.1	Bradi1g00217
BdiBd21-3.1G0000700.1	Bradi1g00219
BdiBd21-3.1G0000800.1	Bradi1g00222
BdiBd21-3.1G0000800.2	Bradi1g00222
BdiBd21-3.1G0000900.1	Bradi1g00234
BdiBd21-3.1G0001100.1	Bradi1g00247
BdiBd21-3.1G0001200.1	Bradi1g00253
BdiBd21-3.1G0001300.1	Bradi1g00260
BdiBd21-3.1G0001300.2	Bradi1g00260
BdiBd21-3.1G0001300.3	Bradi1g00260
BdiBd21-3.1G0001300.4	Bradi1g00260
BdiBd21-3.1G0001300.5	Bradi1g00260
BdiBd21-3.1G0001400.1	Bradi1g00266
BdiBd21-3.1G0001500.1	Bradi1g00272
BdiBd21-3.1G0001700.1	Bradi1g00278
BdiBd21-3.1G0001900.1	Bradi1g00284
BdiBd21-3.1G0002000.1	Bradi1g00287
BdiBd21-3.1G0002100.1	Bradi1g00291
BdiBd21-3.1G0002200.1	Bradi1g00300
BdiBd21-3.1G0002600.1	Bradi1g00322
BdiBd21-3.1G0002700.1	Bradi1g00330
BdiBd21-3.1G0002800.1	Bradi1g00332
BdiBd21-3.1G0002900.1	Bradi1g00335
BdiBd21-3.1G0003000.1	Bradi1g00341
BdiBd21-3.1G0003200.1	Bradi1g00361
BdiBd21-3.1G0003300.1	Bradi1g00362
BdiBd21-3.1G0003400.1	Bradi1g00364
BdiBd21-3.1G0003400.2	Bradi1g00364
BdiBd21-3.1G0003400.3	Bradi1g00364
BdiBd21-3.1G0003500.1	Bradi1g00365
BdiBd21-3.1G0003600.1	Bradi1g00366
BdiBd21-3.1G0003700.1	Bradi1g00368
BdiBd21-3.1G0003800.1	Bradi1g00370
BdiBd21-3.1G0003900.1	Bradi1g00381
BdiBd21-3.1G0004000.1	Bradi1g00385
BdiBd21-3.1G0004100.1	Bradi1g00390
BdiBd21-3.1G0004200.1	Bradi1g00400
BdiBd21-3.1G0004300.1	Bradi1g00405
BdiBd21-3.1G0004400.1	Bradi1g00410
BdiBd21-3.1G0004500.1	Bradi1g00412
BdiBd21-3.1G0004600.1	Bradi1g00413
BdiBd21-3.1G0004700.1	Bradi1g00417
BdiBd21-3.1G0004800.1	Bradi1g00427
BdiBd21-3.1G0004900.1	Bradi1g00438
BdiBd21-3.1G0005000.1	Bradi1g00450
BdiBd21-3.1G0005000.2	Bradi1g00450
BdiBd21-3.1G0005100.1	Bradi1g00460
BdiBd21-3.1G0005100.2	Bradi1g00460
BdiBd21-3.1G0005100.3	Bradi1g00460
BdiBd21-3.1G0005100.4	Bradi1g00460
BdiBd21-3.1G0005200.1	Bradi1g00470
BdiBd21-3.1G0005200.2	Bradi1g00470
BdiBd21-3.1G0005300.1	Bradi1g00480
BdiBd21-3.1G0005400.1	Bradi1g00482
BdiBd21-3.1G0005500.1	Bradi1g00485
BdiBd21-3.1G0005600.1	Bradi1g00491
BdiBd21-3.1G0005700.1	Bradi1g00497
BdiBd21-3.1G0005900.1	Bradi1g00510
BdiBd21-3.1G0005900.2	Bradi1g00510
BdiBd21-3.1G0005900.3	Bradi1g00510
BdiBd21-3.1G0006000.1	Bradi1g00517
BdiBd21-3.1G0006000.2	Bradi1g00517
BdiBd21-3.1G0006000.3	Bradi1g00517
BdiBd21-3.1G0006000.4	Bradi1g00517
BdiBd21-3.1G0006300.1	Bradi1g00530
BdiBd21-3.1G0006300.2	Bradi1g00530
BdiBd21-3.1G0006300.3	Bradi1g00530
BdiBd21-3.1G0006400.1	Bradi1g00535
BdiBd21-3.1G0006500.1	Bradi1g00540
BdiBd21-3.1G0006600.1	Bradi1g00552
BdiBd21-3.1G0006700.1	Bradi1g00560
BdiBd21-3.1G0006800.1	Bradi1g00563
BdiBd21-3.1G0006900.1	Bradi1g00567
BdiBd21-3.1G0006900.2	Bradi1g00567
BdiBd21-3.1G0007000.1	Bradi1g00580
BdiBd21-3.1G0007100.1	Bradi1g00587
BdiBd21-3.1G0007200.1	Bradi1g00600
BdiBd21-3.1G0007300.1	Bradi1g00607
BdiBd21-3.1G0007400.1	Bradi1g00620
BdiBd21-3.1G0007400.2	Bradi1g00620
BdiBd21-3.1G0007500.1	Bradi1g00625
BdiBd21-3.1G0007600.1	Bradi1g00630
BdiBd21-3.1G0007700.1	Bradi1g00642
BdiBd21-3.1G0007700.2	Bradi1g00642
BdiBd21-3.1G0007800.1	Bradi1g00654
