TF_ID	Gene_ID	Family
Bradi2g17610.1.p	Bradi2g17610	RAV
Bradi2g02720.1.p	Bradi2g02720	RAV
Bradi2g47220.1.p	Bradi2g47220	RAV
Bradi2g02710.2.p	Bradi2g02710	RAV
Bradi2g02710.1.p	Bradi2g02710	RAV
Bradi1g00219.1.p	Bradi1g00219	GRAS
Bradi1g01058.2.p	Bradi1g01058	WRKY
Bradi1g01058.3.p	Bradi1g01058	WRKY
Bradi1g01130.1.p	Bradi1g01130	HSF
Bradi1g01130.2.p	Bradi1g01130	HSF
Bradi1g01300.1.p	Bradi1g01300	NF-YC
Bradi1g01640.2.p	Bradi1g01640	NAC
Bradi1g01650.1.p	Bradi1g01650	NAC
Bradi1g01683.1.p	Bradi1g01683	NAC
Bradi1g01695.1.p	Bradi1g01695	NAC
Bradi1g01801.1.p	Bradi1g01801	NAC
Bradi1g01807.1.p	Bradi1g01807	NAC
Bradi1g01990.1.p	Bradi1g01990	FAR1
Bradi1g01990.3.p	Bradi1g01990	FAR1
Bradi1g01990.5.p	Bradi1g01990	FAR1
Bradi1g02327.1.p	Bradi1g02327	WRKY
Bradi1g02327.2.p	Bradi1g02327	WRKY
Bradi1g02760.1.p	Bradi1g02760	SBP
Bradi1g03020.1.p	Bradi1g03020	GATA
Bradi1g03146.1.p	Bradi1g03146	NAC
Bradi1g03245.1.p	Bradi1g03245	NAC
Bradi1g03313.1.p	Bradi1g03313	NAC
Bradi1g03620.1.p	Bradi1g03620	GRAS
Bradi1g03620.2.p	Bradi1g03620	GRAS
Bradi1g03620.3.p	Bradi1g03620	GRAS
Bradi1g03710.2.p	Bradi1g03710	Dof
Bradi1g03710.3.p	Bradi1g03710	Dof
Bradi1g03710.4.p	Bradi1g03710	Dof
Bradi1g04150.1.p	Bradi1g04150	NAC
Bradi1g04229.1.p	Bradi1g04229	NAC
Bradi1g04280.2.p	Bradi1g04280	bHLH
Bradi1g04280.3.p	Bradi1g04280	bHLH
Bradi1g04510.2.p	Bradi1g04510	bZIP
Bradi1g04510.3.p	Bradi1g04510	bZIP
Bradi1g04510.4.p	Bradi1g04510	bZIP
Bradi1g04510.5.p	Bradi1g04510	bZIP
Bradi1g05037.1.p	Bradi1g05037	bHLH
Bradi1g05037.2.p	Bradi1g05037	bHLH
Bradi1g05346.1.p	Bradi1g05346	WRKY
Bradi1g05346.2.p	Bradi1g05346	WRKY
Bradi1g05430.1.p	Bradi1g05430	bHLH
Bradi1g05430.3.p	Bradi1g05430	bHLH
Bradi1g05480.1.p	Bradi1g05480	bZIP
Bradi1g05550.1.p	Bradi1g05550	HSF
Bradi1g06225.1.p	Bradi1g06225	LBD
Bradi1g06460.1.p	Bradi1g06460	TCP
Bradi1g06670.1.p	Bradi1g06670	bHLH
Bradi1g06907.2.p	Bradi1g06907	FAR1
Bradi1g06907.3.p	Bradi1g06907	FAR1
Bradi1g06907.4.p	Bradi1g06907	FAR1
Bradi1g06907.5.p	Bradi1g06907	FAR1
Bradi1g06907.6.p	Bradi1g06907	FAR1
Bradi1g06907.7.p	Bradi1g06907	FAR1
Bradi1g06970.1.p	Bradi1g06970	NAC
Bradi1g07310.3.p	Bradi1g07310	bZIP
Bradi1g07600.1.p	Bradi1g07600	Dof
Bradi1g07936.1.p	Bradi1g07936	bHLH
Bradi1g07970.1.p	Bradi1g07970	WRKY
Bradi1g08106.2.p	Bradi1g08106	WRKY
Bradi1g08106.3.p	Bradi1g08106	WRKY
Bradi1g08891.1.p	Bradi1g08891	HSF
Bradi1g08891.2.p	Bradi1g08891	HSF
Bradi1g08891.3.p	Bradi1g08891	HSF
Bradi1g08891.4.p	Bradi1g08891	HSF
Bradi1g08891.5.p	Bradi1g08891	HSF
Bradi1g08891.6.p	Bradi1g08891	HSF
Bradi1g09170.1.p	Bradi1g09170	WRKY
Bradi1g09177.1.p	Bradi1g09177	bHLH
Bradi1g09550.1.p	Bradi1g09550	GATA
Bradi1g09550.2.p	Bradi1g09550	GATA
Bradi1g09960.1.p	Bradi1g09960	bHLH
Bradi1g09960.2.p	Bradi1g09960	bHLH
Bradi1g09960.3.p	Bradi1g09960	bHLH
Bradi1g09960.4.p	Bradi1g09960	bHLH
Bradi1g09960.5.p	Bradi1g09960	bHLH
Bradi1g09960.6.p	Bradi1g09960	bHLH
Bradi1g10170.2.p	Bradi1g10170	bHLH
Bradi1g10170.3.p	Bradi1g10170	bHLH
Bradi1g10170.4.p	Bradi1g10170	bHLH
Bradi1g10330.1.p	Bradi1g10330	GRAS
Bradi1g10610.1.p	Bradi1g10610	ZF-HD
Bradi1g10750.2.p	Bradi1g10750	FAR1
Bradi1g11060.1.p	Bradi1g11060	TCP
Bradi1g11090.1.p	Bradi1g11090	GRAS
Bradi1g11200.1.p	Bradi1g11200	GeBP
Bradi1g11800.3.p	Bradi1g11800	NF-YA
Bradi1g11800.4.p	Bradi1g11800	NF-YA
Bradi1g11800.5.p	Bradi1g11800	NF-YA
Bradi1g11800.6.p	Bradi1g11800	NF-YA
Bradi1g12330.5.p	Bradi1g12330	GATA
Bradi1g12620.1.p	Bradi1g12620	bZIP
Bradi1g12760.2.p	Bradi1g12760	bHLH
Bradi1g12770.2.p	Bradi1g12770	bHLH
Bradi1g12780.4.p	Bradi1g12780	bHLH
Bradi1g12900.1.p	Bradi1g12900	Trihelix
Bradi1g13166.1.p	Bradi1g13166	LBD
Bradi1g13207.1.p	Bradi1g13207	WRKY
Bradi1g13310.1.p	Bradi1g13310	FAR1
Bradi1g13570.2.p	Bradi1g13570	YABBY
Bradi1g13570.3.p	Bradi1g13570	YABBY
Bradi1g13570.4.p	Bradi1g13570	YABBY
Bradi1g13570.5.p	Bradi1g13570	YABBY
Bradi1g13570.6.p	Bradi1g13570	YABBY
Bradi1g13570.7.p	Bradi1g13570	YABBY
Bradi1g13570.8.p	Bradi1g13570	YABBY
Bradi1g13680.1.p	Bradi1g13680	NF-YA
Bradi1g13980.2.p	Bradi1g13980	bHLH
Bradi1g14300.3.p	Bradi1g14300	WRKY
Bradi1g14300.4.p	Bradi1g14300	WRKY
Bradi1g14300.5.p	Bradi1g14300	WRKY
Bradi1g14300.6.p	Bradi1g14300	WRKY
Bradi1g14467.1.p	Bradi1g14467	NAC
Bradi1g14467.2.p	Bradi1g14467	NAC
Bradi1g14570.2.p	Bradi1g14570	Dof
Bradi1g14600.1.p	Bradi1g14600	bHLH
Bradi1g14677.10.p	Bradi1g14677	LBD
Bradi1g14677.11.p	Bradi1g14677	LBD
Bradi1g14677.12.p	Bradi1g14677	LBD
Bradi1g14677.13.p	Bradi1g14677	LBD
Bradi1g14677.14.p	Bradi1g14677	LBD
Bradi1g14677.3.p	Bradi1g14677	LBD
Bradi1g14677.5.p	Bradi1g14677	LBD
Bradi1g14677.7.p	Bradi1g14677	LBD
Bradi1g14677.8.p	Bradi1g14677	LBD
Bradi1g14677.9.p	Bradi1g14677	LBD
Bradi1g14780.1.p	Bradi1g14780	LBD
Bradi1g15123.2.p	Bradi1g15123	GRAS
Bradi1g15420.2.p	Bradi1g15420	Dof
Bradi1g15474.1.p	Bradi1g15474	FAR1
